iter	Passed	Remaining
1294	18972	127533
1295	18986	127513
1296	19000	127494
1297	19015	127479
1298	19028	127458
1299	19042	127435
1300	19056	127418
1301	19069	127394
1302	19083	127375
1303	19097	127354
1304	19110	127333
1305	19124	127312
1306	19138	127292
1307	19152	127275
1308	19166	127256
1309	19180	127235
1310	19194	127216
1311	19208	127198
1312	19222	127179
1313	19235	127156
1314	19250	127140
1315	19263	127117
1316	19277	127099
1317	19291	127080
1318	19305	127056
1319	19318	127035
1320	19333	127018
1321	19346	126998
1322	19359	126973
1323	19373	126955
1324	19387	126936
1325	19401	126916
1326	19415	126897
1327	19429	126878
1328	19443	126857
1329	19456	126835
1330	19470	126816
1331	19484	126796
1332	19498	126779
1333	19513	126762
1334	19527	126742
1335	19541	126724
1336	19554	126703
1337	19568	126680
1338	19581	126658
1339	19595	126640
1340	19609	126622
1341	19624	126607
1342	19638	126587
1343	19652	126572
1344	19666	126551
1345	19680	126531
1346	19694	126512
1347	19708	126494
1348	19722	126477
1349	19736	126458
1350	19751	126446
1351	19764	126422
1352	19779	126410
1353	19792	126388
1354	19806	126369
1355	19820	126348
1356	19833	126326
1357	19847	126307
1358	19861	126287
1359	19875	126268
1360	19889	126248
1361	19902	126226
1362	19916	126206
1363	19930	126186
1364	19944	126170
1365	19958	126150
1366	19973	126136
1367	19986	126115
1368	20000	126094
1369	20013	126072
1370	20027	126051
1371	20041	126034
1372	20055	126013
1373	20068	125991
1374	20082	125974
1375	20096	125954
1376	20110	125932
1377	20115	125858
1378	20130	125845
1379	20143	125822
1380	20157	125803
1381	20170	125779
1382	20184	125762
1383	20198	125743
1384	20212	125724
1385	20225	125704
1386	20240	125687
1387	20254	125671
1388	20268	125652
1389	20282	125632
1390	20296	125614
1391	20309	125593
1392	20322	125569
1393	20337	125555
1394	20350	125532
1395	20364	125513
1396	20378	125496
1397	20392	125479
1398	20406	125461
1399	20421	125443
1400	20434	125421
1401	20448	125401
1402	20462	125383
1403	20475	125362
1404	20490	125349
1405	20504	125333
1406	20518	125313
1407	20532	125295
1408	20546	125277
1409	20560	125259
1410	20574	125241
1411	20588	125222
1412	20602	125202
1413	20616	125188
1414	20631	125171
1415	20645	125154
1416	20658	125134
1417	20672	125116
1418	20686	125096
1419	20700	125078
1420	20714	125059
1421	20728	125039
1422	20741	125018
1423	20755	124998
1424	20769	124982
1425	20783	124965
1426	20797	124944
1427	20810	124921
1428	20824	124901
1429	20838	124882
1430	20852	124865
1431	20865	124843
1432	20880	124828
1433	20894	124811
1434	20907	124790
1435	20921	124771
1436	20935	124752
1437	20949	124732
1438	20962	124712
1439	20975	124689
1440	20989	124668
1441	21003	124650
1442	21018	124639
1443	21032	124619
1444	21045	124597
1445	21061	124591
1446	21075	124572
1447	21091	124566
1448	21105	124549
1449	21119	124530
1450	21132	124510
1451	21146	124491
1452	21160	124473
1453	21174	124456
1454	21188	124436
1455	21202	124418
1456	21215	124395
1457	21229	124374
1458	21243	124357
1459	21257	124343
1460	21271	124323
1461	21285	124304
1462	21299	124287
1463	21312	124265
1464	21326	124244
1465	21341	124233
1466	21354	124211
1467	21368	124190
1468	21381	124170
1469	21395	124152
1470	21410	124138
1471	21423	124118
1472	21438	124102
1473	21451	124082
1474	21465	124062
1475	21478	124041
1476	21492	124021
1477	21505	124001
1478	21520	123985
1479	21533	123964
1480	21547	123944
1481	21561	123926
1482	21574	123905
1483	21588	123889
1484	21602	123870
1485	21616	123853
1486	21630	123832
1487	21644	123814
1488	21657	123795
1489	21671	123773
1490	21684	123754
1491	21698	123736
1492	21712	123716
1493	21726	123697
1494	21741	123684
1495	21755	123669
1496	21769	123652
1497	21783	123633
1498	21797	123615
1499	21811	123599
1500	21825	123579
1501	21839	123560
1502	21853	123545
1503	21866	123523
1504	21880	123503
1505	21893	123483
1506	21907	123466
1507	21921	123448
1508	21936	123434
1509	21950	123417
1510	21964	123398
1511	21977	123376
1512	21992	123361
1513	22006	123344
1514	22019	123324
1515	22034	123313
1516	22048	123292
1517	22062	123275
1518	22076	123257
1519	22090	123240
1520	22103	123218
1521	22117	123201
1522	22131	123184
1523	22145	123166
1524	22158	123144
1525	22172	123124
1526	22186	123110
1527	22200	123089
1528	22213	123068
1529	22227	123050
1530	22241	123030
1531	22255	123015
1532	22268	122993
1533	22282	122973
1534	22296	122954
1535	22310	122937
1536	22323	122915
1537	22337	122900
1538	22350	122879
1539	22364	122860
1540	22377	122838
1541	22391	122820
1542	22405	122801
1543	22419	122786
1544	22433	122766
1545	22447	122750
1546	22461	122733
1547	22475	122716
1548	22489	122699
1549	22504	122683
1550	22517	122664
1551	22531	122646
1552	22545	122629
1553	22559	122612
1554	22573	122593
1555	22588	122579
1556	22601	122558
1557	22614	122538
1558	22629	122522
1559	22642	122503
1560	22656	122484
1561	22670	122467
1562	22684	122450
1563	22698	122430
1564	22712	122414
1565	22725	122393
1566	22739	122376
1567	22753	122360
1568	22767	122340
1569	22786	122348
1570	22802	122341
1571	22816	122324
1572	22829	122305
1573	22843	122284
1574	22856	122264
1575	22870	122244
1576	22883	122225
1577	22897	122205
1578	22911	122187
1579	22924	122167
1580	22938	122152
1581	22952	122134
1582	22966	122115
1583	22980	122098
1584	22994	122080
1585	23007	122059
1586	23022	122045
1587	23035	122026
1588	23049	122007
1589	23062	121986
1590	23076	121970
1591	23090	121950
1592	23104	121931
1593	23117	121911
1594	23131	121892
1595	23144	121871
1596	23158	121853
1597	23172	121834
1598	23185	121817
1599	23199	121796
1600	23212	121777
1601	23227	121762
1602	23241	121744
1603	23255	121728
1604	23269	121711
1605	23283	121692
1606	23296	121674
1607	23310	121656
1608	23324	121636
1609	23338	121620
1610	23351	121600
1611	23365	121582
1612	23378	121561
1613	23392	121542
1614	23406	121523
1615	23420	121510
1616	23434	121492
1617	23448	121473
1618	23461	121454
1619	23475	121436
1620	23489	121420
1621	23503	121402
1622	23517	121385
1623	23532	121369
1624	23545	121351
1625	23560	121335
1626	23574	121320
1627	23588	121302
1628	23601	121284
1629	23615	121266
1630	23630	121251
1631	23644	121234
1632	23657	121213
1633	23671	121195
1634	23685	121178
1635	23699	121161
1636	23713	121147
1637	23728	121133
1638	23742	121117
1639	23756	121098
1640	23770	121081
1641	23784	121065
1642	23798	121046
1643	23812	121031
1644	23826	121013
1645	23840	120996
1646	23853	120978
1647	23867	120961
1648	23882	120946
1649	23895	120926
1650	23908	120906
1651	23922	120888
1652	23937	120873
1653	23951	120856
1654	23965	120841
1655	23979	120824
1656	23993	120806
1657	24007	120792
1658	24021	120773
1659	24035	120757
1660	24049	120740
1661	24063	120721
1662	24078	120708
